SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,5650 24th Ave NW #604,Seattle,WA,98107,789900,2,1.75,Seattle,1123,,2007,1,703,640,Active,,,http://www.redfin.com/WA/Seattle/5650-24th-Ave-NW-98107/unit-604/home/22697895,NWMLS,1673156,N,Y,47.6698059,-122.3872012
MLS Listing,,Single Family Residential,4397 Point White Dr NE,Bainbridge Island,WA,98110,1379900,3,3.5,Bainbridge Island,3400,39640,2008,1,406,,Active,,,http://www.redfin.com/WA/Bainbridge-Island/4397-Point-White-Dr-NE-98110/home/12487912,NWMLS,1678550,N,Y,47.6034487,-122.5566259
MLS Listing,,Single Family Residential,16911 116th St E,Bonney Lake,WA,98391,440000,5,2.5,Bonney Lake,2800,12606,2000,1,157,19,Active,,,http://www.redfin.com/WA/Bonney-Lake/16911-116th-St-E-98391/home/2954051,NWMLS,1678545,N,Y,47.1513406,-122.203805
MLS Listing,,Condo/Co-op,4214 W Lake Sammamish Pkwy NE #304,Redmond,WA,98052,534000,2,1.75,Overlake,1101,,1979,1,485,490,Active,,,http://www.redfin.com/WA/Redmond/4214-W-Lake-Sammamish-Pkwy-NE-98052/unit-304/home/37605,NWMLS,1678256,N,Y,47.648142,-122.1072382
MLS Listing,,Condo/Co-op,4540 8th Ave NE #306,Seattle,WA,98105,399000,2,1.75,Seattle,1130,,1974,1,353,682,Active,,,http://www.redfin.com/WA/Seattle/4540-8th-Ave-NE-98105/unit-306/home/69451,NWMLS,1676047,N,Y,47.6628077,-122.3188928
MLS Listing,,Condo/Co-op,14620 NE 31st St Unit E202,Bellevue,WA,98007,339599,2,1,Bellevue,889,,1978,1,382,509,Active,,,http://www.redfin.com/WA/Bellevue/14620-NE-31st-St-98007/unit-E202/home/173440341,NWMLS,1678833,N,Y,47.6380474,-122.1451371
MLS Listing,,Single Family Residential,14108 54th Dr NE,Marysville,WA,98271,419000,3,2,Marysville,1357,7405,1990,1,309,,Active,,,http://www.redfin.com/WA/Marysville/14108-54th-Dr-NE-98271/home/2823299,NWMLS,1677891,N,Y,48.1238811,-122.1577741
MLS Listing,,Single Family Residential,11020 NE 131st St,Kirkland,WA,98034,729400,4,2,Juanita,1440,9520,1962,1,507,,Active,,,http://www.redfin.com/WA/Kirkland/11020-NE-131st-St-98034/home/457281,NWMLS,1678017,N,Y,47.7182028,-122.1938828
MLS Listing,,Single Family Residential,1221 SW 144th St,Burien,WA,98166,497000,3,1,Seahurst,1188,10191,1959,1,418,,Active,,,http://www.redfin.com/WA/Burien/1221-SW-144th-St-98166/home/185330,NWMLS,1677855,N,Y,47.4736639,-122.3507704
MLS Listing,,Single Family Residential,9416 Woodland Ave E,Puyallup,WA,98371,380000,4,1.5,Puyallup,1604,10510,1972,1,237,,Active,,,http://www.redfin.com/WA/Puyallup/9416-Woodland-Ave-E-98371/home/2790939,NWMLS,1670421,N,Y,47.1711004,-122.3366469
MLS Listing,,Single Family Residential,20508 36th Ave NW,Stanwood,WA,98292,450000,2,1,Happy Valley,672,213444,1935,1,670,,Active,,,http://www.redfin.com/WA/Stanwood/20508-36th-Ave-NW-98292/home/2504423,NWMLS,1678052,N,Y,48.182132,-122.283138
MLS Listing,,Single Family Residential,30406 24th Ave SW,Federal Way,WA,98023,805000,4,2.5,Adelaide,3413,11359,2005,1,236,30,Active,,,http://www.redfin.com/WA/Federal-Way/30406-24th-Ave-SW-98023/home/2061844,NWMLS,1678030,N,Y,47.3292859,-122.3637125
MLS Listing,,Single Family Residential,7953 NE Sunnywoods Ln,Kingston,WA,98346,499800,4,2.5,Kingston,2144,21780,1990,1,233,30,Active,,,http://www.redfin.com/WA/Kingston/7953-NE-Sunnywoods-Ln-98346/home/2466662,NWMLS,1678685,N,Y,47.8181157,-122.5432199
MLS Listing,,Single Family Residential,17605 67th Ave NE,Arlington,WA,98223,450000,3,2.5,Arlington,1692,7841,2006,1,266,,Active,,,http://www.redfin.com/WA/Arlington/17605-67th-Ave-NE-98223/home/22958835,NWMLS,1675988,N,Y,48.1557597,-122.1400708
MLS Listing,,Single Family Residential,4826 119th Pl SE,Everett,WA,98208,549000,3,2.25,Seattle Hill,1504,8276,1989,1,365,,Active,,,http://www.redfin.com/WA/Everett/4826-119th-Pl-SE-98208/home/2812634,NWMLS,1678037,N,Y,47.8889418,-122.1666616
MLS Listing,,Single Family Residential,16511 54th Ave W,Lynnwood,WA,98037,965000,4,3,Meadowdale,3514,8712,2015,1,275,63,Active,,,http://www.redfin.com/WA/Lynnwood/16511-54th-Ave-W-98037/home/88630413,NWMLS,1677914,N,Y,47.8491354,-122.3057636
MLS Listing,,Condo/Co-op,6920 California Ave SW #12,Seattle,WA,98136,474990,2,2,Gatewood,1249,,1987,1,380,460,Active,,,http://www.redfin.com/WA/Seattle/6920-California-Ave-SW-98136/unit-12/home/50071,NWMLS,1677988,N,Y,47.5415552,-122.3867861
MLS Listing,,Single Family Residential,229 Ferndale Ave SE,Renton,WA,98056,514950,3,2.5,Liberty Ridge,1680,4050,2002,1,307,51,Active,,,http://www.redfin.com/WA/Renton/229-Ferndale-Ave-SE-98056/home/246488,NWMLS,1676854,N,Y,47.4819167,-122.1840799
MLS Listing,,Single Family Residential,27917 123rd Pl SE,Kent,WA,98030,415000,3,2.25,Kent,1770,6219,1987,1,234,5,Active,,,http://www.redfin.com/WA/Kent/27917-123rd-Pl-SE-98030/home/402721,NWMLS,1677155,N,Y,47.3519552,-122.1771022
MLS Listing,,Single Family Residential,4813 E K St,Tacoma,WA,98404,349950,4,1.75,Tacoma,1768,6750,1968,1,198,,Active,October-18-2020 11:00 AM,October-18-2020 1:00 PM,http://www.redfin.com/WA/Tacoma/4813-E-K-St-98404/home/2943774,NWMLS,1677118,N,Y,47.2129329,-122.4145453
MLS Listing,,Single Family Residential,6364 Ebbert Dr SE,Port Orchard,WA,98367,415000,3,2,Port Orchard,1452,20473,1995,1,286,,Active,,,http://www.redfin.com/WA/Port-Orchard/6364-Ebbert-Dr-SE-98367/home/2179045,NWMLS,1677298,N,Y,47.4923947,-122.5729067
MLS Listing,,Single Family Residential,23325 SE 289th St,Black Diamond,WA,98010,925000,4,2.5,Greenbrier,3190,27806,1997,1,290,30,Active,,,http://www.redfin.com/WA/Black-Diamond/23325-SE-289th-St-98010/home/377970,NWMLS,1677963,N,Y,47.3425325,-122.0301014
MLS Listing,,Single Family Residential,3415 60th St Ct E,Tacoma,WA,98443,785000,4,3.25,Tacoma,4296,43560,1992,1,183,,Active,,,http://www.redfin.com/WA/Tacoma/3415-60th-St-Ct-E-98443/home/2599181,NWMLS,1677873,N,Y,47.202272,-122.3833221
MLS Listing,,Townhouse,2012 NW 64th St Unit A,Seattle,WA,98107,795000,3,1.75,Ballard,1320,1390,2015,1,602,,Active,,,http://www.redfin.com/WA/Seattle/2012-NW-64th-St-98107/unit-A/home/494526,NWMLS,1676621,N,Y,47.675508,-122.3826819
MLS Listing,,Single Family Residential,2422 55th Ave NE,Tacoma,WA,98422,599950,5,3,Port of Tacoma,2883,6862,2017,1,208,52,Active,,,http://www.redfin.com/WA/Tacoma/2422-55th-Ave-NE-98422/home/144234746,NWMLS,1678435,N,Y,47.2787409,-122.3744531
MLS Listing,,Single Family Residential,14713 16th Av Ct S,Spanaway,WA,98387,389000,3,2.5,Spanaway,1696,10500,1977,1,229,,Active,,,http://www.redfin.com/WA/Spanaway/14713-16th-Ave-Ct-S-98387/home/2947002,NWMLS,1676456,N,Y,47.1232819,-122.4569382
MLS Listing,,Condo/Co-op,501 Roy St Unit M246,Seattle,WA,98109,529000,1,1,Queen Anne,831,,2007,1,637,624,Active,,,http://www.redfin.com/WA/Seattle/501-Roy-St-98109/unit-M246/home/12090837,NWMLS,1674978,N,Y,47.6250073,-122.3468729
MLS Listing,,Single Family Residential,2021 7th Pl,Snohomish,WA,98290,749950,4,2.75,Snohomish,3577,7405,2015,1,210,50,Active,,,http://www.redfin.com/WA/Snohomish/2021-7th-Pl-98290/home/105197002,NWMLS,1676735,N,Y,47.9207006,-122.1097595
MLS Listing,,Single Family Residential,13925 17th Ave W,Lynnwood,WA,98087,699500,5,3,Lake Stickney,2570,10019,2010,1,272,19,Active,,,http://www.redfin.com/WA/Lynnwood/13925-17th-Ave-W-98087/home/39909678,NWMLS,1677826,N,Y,47.8714185,-122.2563222
MLS Listing,,Single Family Residential,19902 113th St E,Bonney Lake,WA,98391,349950,3,2,Bonney Lake,1344,8239,2010,1,260,10,Active,,,http://www.redfin.com/WA/Bonney-Lake/19902-113th-St-E-98391/home/2958626,NWMLS,1677981,N,Y,47.1537441,-122.164948
MLS Listing,,Condo/Co-op,16817 Larch Way Unit B104,Lynnwood,WA,98037,254990,2,1,Martha Lake,930,,1989,1,274,372,Active,October-18-2020 11:00 AM,October-18-2020 1:00 PM,http://www.redfin.com/WA/Lynnwood/16817-Larch-Way-98037/unit-B104/home/2917670,NWMLS,1676433,N,Y,47.845718,-122.2449933
MLS Listing,,Single Family Residential,4335 Thackeray Pl NE,Seattle,WA,98105,975000,3,1.75,Wallingford,1980,3978,1910,1,492,,Active,,,http://www.redfin.com/WA/Seattle/4335-Thackeray-Pl-NE-98105/home/117953,NWMLS,1676825,N,Y,47.6599961,-122.3264499
MLS Listing,,Condo/Co-op,1751 NW 58th #3,Seattle,WA,98107,499950,2,1.5,Ballard,823,,1978,1,607,293,Active,,,http://www.redfin.com/WA/Seattle/1751-NW-58th-St-98107/unit-3/home/12318432,NWMLS,1676363,N,Y,47.6706738,-122.3811835
MLS Listing,,Single Family Residential,3507 222nd St SW,Mountlake Terrace,WA,98043,649995,4,2,Mountlake Terrace,2328,7841,1962,1,279,,Active,,,http://www.redfin.com/WA/Mountlake-Terrace/3507-222nd-St-SW-98043/home/2661208,NWMLS,1676497,N,Y,47.7970122,-122.2819378
MLS Listing,,Single Family Residential,2937 S 373rd Pl,Federal Way,WA,98003,519950,4,2.5,Jovita,2140,3289,2017,1,243,50,Active,,,http://www.redfin.com/WA/Federal-Way/2937-S-373rd-Pl-98003/home/113995974,NWMLS,1675409,N,Y,47.2664906,-122.2965974
MLS Listing,,Single Family Residential,5415 McKinley Ave,Tacoma,WA,98404,349950,4,1.75,Se Tacoma,1676,7592,1941,1,209,,Active,,,http://www.redfin.com/WA/Tacoma/5415-E-McKinley-Ave-98404/home/3008119,NWMLS,1677601,N,Y,47.2074338,-122.4205387
MLS Listing,,Townhouse,12419 4th Ave W #5102,Everett,WA,98204,272000,2,2.25,Everett,1036,,1996,1,263,277,Active,,,http://www.redfin.com/WA/Everett/12419-4th-Ave-W-98204/unit-5102/home/2852921,NWMLS,1678008,N,Y,47.8846391,-122.2380254
MLS Listing,,Townhouse,8614 134th Ct NE,Redmond,WA,98052,825000,2,2.5,North Rose Hill,1870,3569,1986,1,441,195,Active,,,http://www.redfin.com/WA/Redmond/8614-134th-Ct-NE-98052/home/513600,NWMLS,1677477,N,Y,47.680071,-122.160616
MLS Listing,,Single Family Residential,11366 Cooper Ave SW,Port Orchard,WA,98367,349900,3,2,Port Orchard,1269,8712,1971,1,276,,Active,,,http://www.redfin.com/WA/Port-Orchard/11366-Cooper-Ave-SW-98367/home/2434851,NWMLS,1675576,N,Y,47.4452017,-122.6597565
MLS Listing,,Single Family Residential,16214 SE 29th Pl,Bellevue,WA,98008,799000,4,1.75,Bellevue,1350,9031,1965,1,592,,Active,,,http://www.redfin.com/WA/Bellevue/16214-SE-29th-Pl-98008/home/428926,NWMLS,1677460,N,Y,47.5834716,-122.1230102
MLS Listing,,Single Family Residential,9651 Sportsman Club Rd NE,Bainbridge Island,WA,98110,1138000,4,2,Bainbridge,2376,101930,1947,2,479,,Active,,,http://www.redfin.com/WA/Bainbridge-Island/9651-Sportsman-Club-Rd-NE-98110/home/2218906,NWMLS,1677592,N,Y,47.6508883,-122.525462
