SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Mobile/Manufactured Home,12512 Monte Cristo Way,Granite Falls,WA,98252,310000,3,1.75,Canyon Creek,1404,13939,2005,1,221,15,Active,,,http://www.redfin.com/WA/Granite-Falls/12512-Monte-Cristo-Way-98252/home/16880178,NWMLS,1676496,N,Y,48.1098347,-121.9649781
MLS Listing,,Single Family Residential,8039 S Thompson Ave,Tacoma,WA,98408,425000,4,2.25,Tacoma,1792,3982,2018,1,237,,Active,,,http://www.redfin.com/WA/Tacoma/8039-S-Thompson-Ave-98408/home/145563411,NWMLS,1675962,N,Y,47.1831153,-122.4436609
MLS Listing,,Single Family Residential,20328 132nd Ave NE,Woodinville,WA,98072,1125000,6,3.5,Woodinville,3970,6061,2018,1,283,171,Active,,,http://www.redfin.com/WA/Woodinville/20328-132nd-Ave-NE-98072/home/170484760,NWMLS,1675275,N,Y,47.7755669,-122.1637879
MLS Listing,,Single Family Residential,4003 176th Ave E,Lake Tapps,WA,98391,395000,3,1.75,Lake Tapps,1680,18450,1972,3,235,25,Active,,,http://www.redfin.com/WA/Lake-Tapps/4003-176th-Ave-E-98391/home/2891214,NWMLS,1675869,N,Y,47.221238,-122.193691
MLS Listing,,Single Family Residential,14902 44th Dr NE,Marysville,WA,98271,309000,2,1,North Marysville,667,3500,2003,3,463,65,Active,,,http://www.redfin.com/WA/Marysville/14902-44th-Dr-NE-98271/home/2899148,NWMLS,1676132,N,Y,48.1315002,-122.1695663
MLS Listing,,Condo/Co-op,6707 204th St SW #205,Lynnwood,WA,98036,309990,2,2.25,Seattle Heights,1333,,1979,4,233,289,Active,,,http://www.redfin.com/WA/Lynnwood/6707-204th-St-SW-98036/unit-205/home/2794629,NWMLS,1674630,N,Y,47.8144032,-122.3240778
MLS Listing,,Condo/Co-op,440 S 51st Ct Unit C101,Renton,WA,98055,335000,2,2,Benson Hill,1161,,1996,4,289,245,Active,,,http://www.redfin.com/WA/Renton/440-S-51st-Ct-98055/unit-C101/home/60366,NWMLS,1675568,N,Y,47.4338729,-122.2123063
MLS Listing,,Single Family Residential,119 12th St NW,Puyallup,WA,98371,325000,3,1,Puyallup,990,7200,1945,4,328,,Active,,,http://www.redfin.com/WA/Puyallup/119-12th-St-NW-98371/home/2935182,NWMLS,1675411,N,Y,47.1924079,-122.3093322
MLS Listing,,Condo/Co-op,2006 N 30th St #9,Tacoma,WA,98403,442500,2,1.5,Old Town,963,1000,1975,4,460,425,Active,,,http://www.redfin.com/WA/Tacoma/2006-N-30th-St-98403/unit-9/home/2941253,NWMLS,1675908,N,Y,47.2744976,-122.4626992
MLS Listing,,Single Family Residential,30851 54th Ave S,Auburn,WA,98001,465000,3,1.75,Auburn,1560,14850,1966,4,298,,Active,,,http://www.redfin.com/WA/Auburn/30851-54th-Ave-S-98001/home/211441,NWMLS,1675471,N,Y,47.3244045,-122.2687445
