SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,2810 Dogwood Ln,Camano Island,WA,98282,455000,3,1.75,Idlewood,1966,25441,1991,1,231,,Active,,,http://www.redfin.com/WA/Camano/2810-Dogwood-Ln-98282/home/16695307,NWMLS,1662325,N,Y,48.10869,-122.4244439
MLS Listing,,Single Family Residential,362 SE Neil St,Oak Harbor,WA,98277,339000,4,1.5,City Of Oak Harbor,1533,7257,1948,1,221,,Active,,,http://www.redfin.com/WA/Oak-Harbor/362-SE-Neil-St-98277/home/16698386,NWMLS,1669289,N,Y,48.2958269,-122.6405017
MLS Listing,,Single Family Residential,136 Sonshine Ln,Camano Island,WA,98282,525000,3,2,Country Club,1756,43662,1995,1,299,,Active,,,http://www.redfin.com/WA/Camano/136-Sonshine-Ln-98282/home/16706289,NWMLS,1659948,N,Y,48.149806,-122.4761257
MLS Listing,,Single Family Residential,486 SE Ireland St,Oak Harbor,WA,98277,327000,3,1,City Of Oak Harbor,1221,9164,1984,1,268,,Active,,,http://www.redfin.com/WA/Oak-Harbor/486-SE-Ireland-St-98277/home/16686974,NWMLS,1666550,N,Y,48.2942328,-122.6463668
MLS Listing,,Vacant Land,Alpha Ln,Freeland,WA,98249,299000,0,,Freeland,,77785,,1,,,Active,,,http://www.redfin.com/WA/FREELAND/ALPHA-LN-98249/home/22893605,NWMLS,1670958,N,Y,47.998675,-122.540852
MLS Listing,,Single Family Residential,781 Roberts Bluff Rd,Coupeville,WA,98239,530000,2,1,Coupeville,622,9238,1950,1,852,46,Active,,,http://www.redfin.com/WA/Coupeville/781-Roberts-Bluff-Rd-98239/home/16686966,NWMLS,1667150,N,Y,48.182021,-122.586231
MLS Listing,,Single Family Residential,1024 NW Anchor Dr,Oak Harbor,WA,98277,330000,3,2,City Of Oak Harbor,1092,8200,1968,1,302,,Active,October-1-2020 04:30 PM,October-1-2020 06:30 PM,http://www.redfin.com/WA/Oak-Harbor/1024-NW-Anchor-Dr-98277/home/16688441,NWMLS,1670629,N,Y,48.3067369,-122.6588256
MLS Listing,,Single Family Residential,1443 Martha Way,Oak Harbor,WA,98277,525000,3,2,Oak Harbor,2551,13516,1940,1,206,,Active,,,http://www.redfin.com/WA/Oak-Harbor/1443-Martha-Way-98277/home/16693453,NWMLS,1669202,N,Y,48.262488,-122.748352
MLS Listing,,Single Family Residential,4617 Tanner View Dr,Clinton,WA,98236,1115000,3,3.5,Clinton,4262,14739,1999,1,262,26,Active,,,http://www.redfin.com/WA/Clinton/4617-Tanner-View-Dr-98236/home/16687867,NWMLS,1669480,N,Y,47.982832,-122.3647059
MLS Listing,,Vacant Land,Kims Way,Oak Harbor,WA,98277,249900,0,,North Whidbey,,441263,,1,,,Active,,,http://www.redfin.com/WA/Oak-Harbor/Kims-Way-98277/home/173319706,NWMLS,1670526,N,Y,48.317255,-122.678746
MLS Listing,,Vacant Land,1303 Pilchuck Dr,Camano Island,WA,98282,60000,0,,Camano Vista,,13471,,1,,,Active,,,http://www.redfin.com/WA/Camano/1303-Pilchuck-Dr-98282/home/21656093,NWMLS,1666856,N,Y,48.1008749,-122.4063913
MLS Listing,,Single Family Residential,1654 Lynne Dr,Freeland,WA,98249,445000,2,2.5,Freeland,1420,10000,1991,1,313,,Active,,,http://www.redfin.com/WA/Freeland/1654-Lynne-Dr-98249/home/16683071,NWMLS,1670564,N,Y,48.0146766,-122.5254173
MLS Listing,,Single Family Residential,670 NW Mizzen Dr,Oak Harbor,WA,98277,365000,3,1.75,City Of Oak Harbor,1419,8751,1989,1,257,,Active,October-3-2020 12:00 PM,October-3-2020 02:00 PM,http://www.redfin.com/WA/Oak-Harbor/670-NW-Mizzen-Dr-98277/home/16690323,NWMLS,1669481,N,Y,48.3035464,-122.6730786
MLS Listing,,Single Family Residential,1727 SW Downfield Way,Oak Harbor,WA,98277,473900,3,2.5,City Of Oak Harbor,2295,6305,2012,2,206,40,Active,,,http://www.redfin.com/WA/Oak-Harbor/1727-SW-Downfield-Way-98277/home/45463379,NWMLS,1669846,N,Y,48.2845098,-122.6949494
MLS Listing,,Vacant Land,Harbor Ave,Freeland,WA,98249,165000,0,,Freeland,,19166,,2,,,Active,,,http://www.redfin.com/WA/Freeland/S-Harbor-Ave-98249/home/16715325,NWMLS,1668810,N,Y,48.01085,-122.523708
MLS Listing,,Vacant Land,NW Front St,Coupeville,WA,98239,240000,0,,Coupeville,,3600,,2,,,Active,,,http://www.redfin.com/WA/Coupeville/Front-St-NE-98239/home/109465923,NWMLS,1669999,N,Y,48.221084,-122.685898
