SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,2716 Elliot Ave #803,Seattle,WA,98121,419950,1,1,Belltown,516,,2003,1,814,382,Active,,,http://www.redfin.com/WA/Seattle/2716-Elliott-Ave-98121/unit-803/home/42141,NWMLS,1669352,N,Y,47.6150487,-122.3527367
MLS Listing,,Condo/Co-op,1707 Boylston Ave #209,Seattle,WA,98122,511000,2,1,Capitol Hill,817,,1965,1,625,445,Active,,,http://www.redfin.com/WA/Seattle/1707-Boylston-Ave-98122/unit-209/home/12538598,NWMLS,1671148,N,Y,47.616649,-122.3237236
MLS Listing,,Single Family Residential,13736 10th Ave SW,Burien,WA,98166,435000,3,1,Hazel Valley,1640,8200,1944,1,265,,Active,,,http://www.redfin.com/WA/Burien/13736-10th-Ave-SW-98166/home/183783,NWMLS,1670561,N,Y,47.4788672,-122.3468535
MLS Listing,,Single Family Residential,4414 SW Othello St,Seattle,WA,98136,1097000,4,2.75,Gatewood,2180,3870,2013,1,503,,Active,,,http://www.redfin.com/WA/Seattle/4414-SW-Othello-St-98136/home/152473,NWMLS,1670720,N,Y,47.5381537,-122.3892321
MLS Listing,,Condo/Co-op,3604 26th Pl W #202,Seattle,WA,98199,575000,3,1.75,Seattle,1548,,1968,1,371,525,Active,,,http://www.redfin.com/WA/Seattle/3604-26th-Pl-W-98199/unit-202/home/103958130,NWMLS,1665188,N,Y,47.6524607,-122.3885037
MLS Listing,,Townhouse,116 Aloha St #116,Seattle,WA,98109,1125000,3,3.25,Queen Anne,1948,13630,1999,1,578,1094,Active,,,http://www.redfin.com/WA/Seattle/116-Aloha-St-98109/unit-116/home/35137,NWMLS,1671051,N,Y,47.627396,-122.3544745
MLS Listing,,Condo/Co-op,3540 Lake Washington Blvd SE #111,Bellevue,WA,98006,360000,1,1,Factoria,921,,1990,1,391,411,Active,,,http://www.redfin.com/WA/Bellevue/3540-Lake-Washington-Blvd-SE-98006/unit-111/home/41064,NWMLS,1670335,N,Y,47.5791628,-122.1799163
MLS Listing,,Single Family Residential,9250 Wallingford Ave N,Seattle,WA,98103,695000,3,2,Green Lake,2270,7630,1920,1,306,,Active,,,http://www.redfin.com/WA/Seattle/9250-Wallingford-Ave-N-98103/home/105260,NWMLS,1669385,N,Y,47.6974047,-122.3361389
MLS Listing,,Single Family Residential,4208 SW Roxbury St,Seattle,WA,98136,915000,3,1.75,Arbor Heights,3040,6536,1952,1,301,,Active,,,http://www.redfin.com/WA/Seattle/4208-SW-Roxbury-St-98136/home/155249,NWMLS,1669986,N,Y,47.5177264,-122.3860499
MLS Listing,,Single Family Residential,1725 N 105th St,Seattle,WA,98133,739000,4,1.75,Seattle,2010,8212,1961,2,368,,Active,,,http://www.redfin.com/WA/Seattle/1725-N-105th-St-98133/home/104606,NWMLS,1669367,N,Y,47.7048725,-122.3364386
MLS Listing,,Condo/Co-op,3200 81st Pl SE Unit A203,Mercer Island,WA,98040,425000,1,1,Mercer Island,665,,1968,5,639,399,Active,,,http://www.redfin.com/WA/Mercer-Island/3200-81st-Pl-SE-98040/unit-A203/home/21617458,NWMLS,1667074,N,Y,47.5814381,-122.2300379
MLS Listing,,Condo/Co-op,31900 104th Ave SE Unit D206,Auburn,WA,98092,235000,2,1.5,Lea Hill,1160,,1997,5,203,358,Active,,,http://www.redfin.com/WA/Auburn/31900-104th-Ave-SE-98092/unit-D206/home/173293217,NWMLS,1665793,N,Y,47.317447,-122.203433
MLS Listing,,Single Family Residential,5536 S Avon St,Seattle,WA,98178,625000,4,2.25,Seattle,2020,13110,1934,5,309,,Active,,,http://www.redfin.com/WA/Seattle/5536-S-Avon-St-98178/home/177923,NWMLS,1667434,N,Y,47.5015226,-122.2634099
MLS Listing,,Single Family Residential,2324 N 122nd St,Seattle,WA,98133,735000,3,2,Haller Lake,2260,8773,1947,5,325,,Active,,,http://www.redfin.com/WA/Seattle/2324-N-122nd-St-98125/home/103979,NWMLS,1669221,N,Y,47.7173513,-122.3297791
MLS Listing,,Single Family Residential,17922 NE 196th St,Woodinville,WA,98077,550000,3,2,Woodinville,1590,57000,1978,5,346,,Active,,,http://www.redfin.com/WA/Woodinville/17922-NE-196th-St-98077/home/271002,NWMLS,1668475,N,Y,47.769962,-122.1009015
MLS Listing,,Condo/Co-op,6736 Lake Washington Blvd NE #10,Kirkland,WA,98033,1299000,2,2,Kirkland,1582,,1977,5,821,538,Active,,,http://www.redfin.com/WA/Kirkland/6736-Lake-Washington-Blvd-NE-98033/unit-10/home/57465,NWMLS,1667787,N,Y,47.6660931,-122.2063629
MLS Listing,,Single Family Residential,2020 42nd Ave E,Seattle,WA,98112,1385000,2,1.75,Madison Park,1550,3600,1985,5,894,,Active,,,http://www.redfin.com/WA/Seattle/2020-42nd-Ave-E-98112/home/139919,NWMLS,1668899,N,Y,47.6376322,-122.2781901
MLS Listing,,Townhouse,1119 N 85th St Unit A,Seattle,WA,98103,445000,2,1.75,Green Lake,1000,1000,2009,5,445,,Active,,,http://www.redfin.com/WA/Seattle/1119-N-85th-St-98103/unit-A/home/21883460,NWMLS,1666467,N,Y,47.690278,-122.34353
MLS Listing,,Condo/Co-op,500 106th Ave NE #503,Bellevue,WA,98004,719000,1,0.75,Downtown,788,,2008,5,912,515,Active,,,http://www.redfin.com/WA/Bellevue/500-106th-Ave-NE-98004/unit-503/home/21882668,NWMLS,1667422,N,Y,47.6147175,-122.1987009
MLS Listing,,Condo/Co-op,425 23rd Ave S Unit A316,Seattle,WA,98144,524950,2,1.75,Central Area,1047,,2005,5,501,514,Active,,,http://www.redfin.com/WA/Seattle/425-23rd-Ave-S-98144/unit-A316/home/2067281,NWMLS,1668180,N,Y,47.5982675,-122.3025545
MLS Listing,,Townhouse,3811 Evanston Ave N Unit B,Seattle,WA,98103,839000,3,2.25,Fremont,1500,1274,2004,5,559,,Active,,,http://www.redfin.com/WA/Seattle/3811-Evanston-Ave-N-98103/unit-B/home/2064147,NWMLS,1665920,N,Y,47.653199,-122.3517249
MLS Listing,,Condo/Co-op,819 Virginia St #3206,Seattle,WA,98101,799000,1,1.5,Denny Triangle,1113,,2007,5,718,1011,Active,,,http://www.redfin.com/WA/Seattle/819-Virginia-St-98101/unit-3206/home/12304716,NWMLS,1668830,N,Y,47.6160391,-122.3357064
MLS Listing,,Single Family Residential,16048 21st Ave SW,Burien,WA,98166,579995,3,1,Three Tree Point,1780,9000,1957,6,326,,Active,,,http://www.redfin.com/WA/Burien/16048-21st-Ave-SW-98166/home/336257,NWMLS,1667409,N,Y,47.4581616,-122.3602522
MLS Listing,,Condo/Co-op,81 Vine St #100,Seattle,WA,98121,749000,2,0.75,Belltown,1253,,1914,6,598,416,Active,,,http://www.redfin.com/WA/Seattle/81-Vine-St-98121/unit-100/home/70827,NWMLS,1667261,N,Y,47.6146625,-122.3500658
MLS Listing,,Condo/Co-op,13301 SE 79th Pl Unit B311,Newcastle,WA,98059,540000,3,2,Newcastle,1336,,2001,6,404,510,Active,,,http://www.redfin.com/WA/Newcastle/13301-SE-79th-Pl-98059/unit-B311/home/2098852,NWMLS,1666436,N,Y,47.5332005,-122.1625157
MLS Listing,,Condo/Co-op,705 E Republican St #306,Seattle,WA,98102,299950,0,1,Broadway,370,,1963,6,811,224,Active,,,http://www.redfin.com/WA/Seattle/705-E-Republican-St-98102/unit-306/home/12090777,NWMLS,1666552,N,Y,47.6228918,-122.3227394
MLS Listing,,Single Family Residential,340 Wells Ave N,Renton,WA,98057,419950,2,1,Renton,900,4500,1951,6,467,,Active,,,http://www.redfin.com/WA/Renton/340-Wells-Ave-N-98057/home/343152,NWMLS,1667925,N,Y,47.488073,-122.2041725
MLS Listing,,Single Family Residential,3055 25th Ave W,Seattle,WA,98199,1620000,4,2.5,Magnolia,3010,6382,2014,6,538,,Active,,,http://www.redfin.com/WA/Seattle/3055-25th-Ave-W-98199/home/124457,NWMLS,1667853,N,Y,47.6483123,-122.3890579
MLS Listing,,Condo/Co-op,1614 Summit Ave Unit S107,Seattle,WA,98122,399975,1,1,Broadway,561,,1990,6,713,323,Active,,,http://www.redfin.com/WA/Seattle/1614-Summit-Ave-98122/unit-S107/home/71417,NWMLS,1666473,N,Y,47.6159184,-122.325214
MLS Listing,,Single Family Residential,16434 NE 48th St,Redmond,WA,98052,1200000,4,3,Microsoft,2740,11160,1979,6,438,,Active,,,http://www.redfin.com/WA/Redmond/16434-NE-48th-St-98052/home/505549,NWMLS,1667116,N,Y,47.6525041,-122.1212739
MLS Listing,,Condo/Co-op,4100 Lake Washington Blvd N Unit C202,Renton,WA,98056,409990,2,1.5,Kennydale,1107,,1980,7,370,346,Active,,,http://www.redfin.com/WA/Renton/4100-Lake-Washington-Blvd-N-98056/unit-C202/home/103955684,NWMLS,1666660,N,Y,47.5285269,-122.20148
MLS Listing,,Single Family Residential,1200 SW 160th St,Burien,WA,98166,465000,3,1,Burien,1230,6282,1949,7,378,,Active,,,http://www.redfin.com/WA/Burien/1200-SW-160th-St-98166/home/185859,NWMLS,1666720,N,Y,47.4598007,-122.3500873
MLS Listing,,Single Family Residential,2864 NW 68th St,Seattle,WA,98117,779950,4,1,Sunset Hill,1680,5000,1904,7,464,,Active,,,http://www.redfin.com/WA/Seattle/2864-NW-68th-St-98117/home/166761,NWMLS,1666737,N,Y,47.6782058,-122.3954124
MLS Listing,,Condo/Co-op,3834 175th Ave NE #101,Redmond,WA,98052,519000,2,1,Lake Sammamish,978,,1967,8,531,413,Active,,,http://www.redfin.com/WA/Redmond/3834-175th-Ave-NE-98052/unit-101/home/33571,NWMLS,1666477,N,Y,47.6447031,-122.1046438
MLS Listing,,Single Family Residential,27457 210th Ave SE,Maple Valley,WA,98038,615995,5,2.75,Maple Valley,2710,4750,2014,8,227,75,Active,,,http://www.redfin.com/WA/Maple-Valley/27457-210th-Ave-SE-98038/home/55551169,NWMLS,1666671,N,Y,47.3552219,-122.0619774
MLS Listing,,Single Family Residential,10518 165th Pl NE,Redmond,WA,98052,800000,4,2,Education Hill,2170,8139,1976,12,369,,Active,,,http://www.redfin.com/WA/Redmond/10518-165th-Pl-NE-98052/home/323112,NWMLS,1664695,N,Y,47.6944836,-122.1189645
MLS Listing,,Townhouse,10900 NE 35th Pl #2,Bellevue,WA,98004,598000,2,2.25,Bellevue,1348,,1975,12,444,669,Active,,,http://www.redfin.com/WA/Bellevue/10900-NE-35th-Pl-98004/unit-2/home/17068347,NWMLS,1663390,N,Y,47.6423094,-122.1957234
MLS Listing,,Condo/Co-op,715 24th Ave #105,Seattle,WA,98122,425000,2,1,Central Area,750,,1928,12,567,412,Active,,,http://www.redfin.com/WA/Seattle/715-24th-Ave-98122/unit-105/home/12318381,NWMLS,1664982,N,Y,47.6085154,-122.3018935
MLS Listing,,Condo/Co-op,14623 NE 40th St Unit H8,Bellevue,WA,98007,449000,2,2,Microsoft,1235,,1973,12,364,653,Active,,,http://www.redfin.com/WA/Bellevue/14623-NE-40th-St-98007/unit-H8/home/27662,NWMLS,1665496,N,Y,47.6452303,-122.1455195
MLS Listing,,Single Family Residential,5126 Evan Ct SE,Auburn,WA,98092,475000,4,2.5,Lakeland,2235,1,2005,12,213,47,Active,,,http://www.redfin.com/WA/Auburn/5126-Evan-Ct-SE-98092/home/21459559,NWMLS,1665628,N,Y,47.2617889,-122.2226322
MLS Listing,,Condo/Co-op,408 Bellevue Ave E #102,Seattle,WA,98102,450000,1,1,Capitol Hill,700,,1929,12,643,755,Active,,,http://www.redfin.com/WA/Seattle/408-Bellevue-Ave-E-98102/unit-102/home/145542218,NWMLS,1664251,N,Y,47.6223393,-122.3262463
MLS Listing,,Single Family Residential,35431 56th Ave S,Auburn,WA,98001,659950,4,2.5,Jovita,2893,5898,2017,12,228,42,Active,,,http://www.redfin.com/WA/Auburn/35431-56th-Ave-S-98001/home/22697514,NWMLS,1663445,N,Y,47.2837693,-122.2655543
MLS Listing,,Condo/Co-op,5801 Phinney Ave N #103,Seattle,WA,98103,415000,1,1,Phinney Ridge,745,,1979,12,557,372,Active,,,http://www.redfin.com/WA/Seattle/5801-Phinney-Ave-N-98103/unit-103/home/44638,NWMLS,1665155,N,Y,47.6713573,-122.3547221
MLS Listing,,Single Family Residential,816 NW 51st St,Seattle,WA,98107,740000,2,1,Ballard,1080,3750,1904,12,685,,Active,,,http://www.redfin.com/WA/Seattle/816-NW-51st-St-98107/home/303262,NWMLS,1665273,N,Y,47.6658666,-122.3671323
MLS Listing,,Single Family Residential,2013 Boylston Ave E Unit B,Seattle,WA,98102,925000,3,2.5,Eastlake,1680,1240,2014,13,551,,Active,,,http://www.redfin.com/WA/Seattle/2013-Boylston-Ave-E-98102/unit-B/home/132207,NWMLS,1665305,N,Y,47.637231,-122.323771
MLS Listing,,Condo/Co-op,1111 E Pike St #402,Seattle,WA,98122,475000,1,1,Broadway,643,,2008,13,739,491,Active,,,http://www.redfin.com/WA/Seattle/1111-E-Pike-St-98122/unit-402/home/21883052,NWMLS,1664514,N,Y,47.6138796,-122.3176178
MLS Listing,,Single Family Residential,2827 31st Ave S,Seattle,WA,98144,1250000,5,2.75,Mt Baker,2880,5000,1908,13,434,,Active,,,http://www.redfin.com/WA/Seattle/2827-31st-Ave-S-98144/home/171253,NWMLS,1663309,N,Y,47.5775378,-122.293337
MLS Listing,,Single Family Residential,1224 NE 188th St,Shoreline,WA,98155,1100000,5,2.5,North City,3660,7830,1969,13,301,,Active,,,http://www.redfin.com/WA/Shoreline/1224-NE-188th-St-98155/home/84904,NWMLS,1664649,N,Y,47.7658184,-122.315163
MLS Listing,,Condo/Co-op,31510 106th Pl SE Unit R106,Auburn,WA,98092,249950,2,1.75,Lea Hill,1280,,1982,13,195,189,Active,,,http://www.redfin.com/WA/Auburn/31510-106th-Pl-SE-98092/unit-R106/home/12305730,NWMLS,1662924,N,Y,47.3201715,-122.2000745
MLS Listing,,Single Family Residential,23618 SE 269th Ct,Maple Valley,WA,98038,730000,4,2.75,Maple Valley,3150,4250,2019,13,232,75,Active,,,http://www.redfin.com/WA/Maple-Valley/23618-SE-269th-Ct-98038/home/167449961,NWMLS,1662833,N,Y,47.360429,-122.025386
MLS Listing,,Condo/Co-op,12918 126th Ct NE Unit K302,Kirkland,WA,98034,374950,2,1.75,Totem Lake,1066,,1980,13,352,437,Active,,,http://www.redfin.com/WA/Kirkland/12918-126th-Ct-NE-98034/unit-K302/home/18092,NWMLS,1663581,N,Y,47.7162193,-122.1717882
MLS Listing,,Condo/Co-op,731 Broadway E #303,Seattle,WA,98102,745000,2,2,Broadway,1129,,1966,14,660,716,Active,,,http://www.redfin.com/WA/Seattle/731-Broadway-E-98102/unit-303/home/2118202,NWMLS,1663039,N,Y,47.6258803,-122.3216491
MLS Listing,,Townhouse,3317 Wetmore Ave S Unit B,Seattle,WA,98144,500000,1,1,Mt Baker,790,1080,2008,14,633,,Active,,,http://www.redfin.com/WA/Seattle/3317-Wetmore-Ave-S-98144/unit-B/home/22525486,NWMLS,1658251,N,Y,47.573776,-122.293547
MLS Listing,,Condo/Co-op,19131 110th Pl SE,Renton,WA,98055,375000,2,2.5,Renton,1231,,1998,14,305,370,Active,,,http://www.redfin.com/WA/Renton/19131-110th-Pl-SE-98055/home/17080624,NWMLS,1663347,N,Y,47.4307952,-122.1941229
MLS Listing,,Townhouse,7751 Sand Point Way Unit B,Seattle,WA,98115,975000,3,2.5,View Ridge,2260,1651,2009,14,431,,Active,,,http://www.redfin.com/WA/Seattle/7751-Sand-Point-Way-NE-98115/unit-B/home/22683867,NWMLS,1663306,N,Y,47.6862166,-122.2655658
