SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,8129 NE Blakely Heights Ct,Bainbridge Island,WA,98110,928000,3,3,Bainbridge Island,2290,37026,1999,3,405,,Active,,,http://www.redfin.com/WA/Bainbridge-Island/8129-NE-Blakely-Heights-Ct-98110/home/2425062,NWMLS,1669307,N,Y,47.6053091,-122.542409
MLS Listing,,Single Family Residential,10585 NE Manor Ln,Bainbridge Island,WA,98110,839900,3,2.5,Bainbridge Island,2548,33977,1988,8,330,,Active,,,http://www.redfin.com/WA/Bainbridge-Island/10585-NE-Manor-Ln-98110/home/2148160,NWMLS,1666413,N,Y,47.6886403,-122.5077612
MLS Listing,,Single Family Residential,926 Washington Ave,Bremerton,WA,98337,510000,3,2,Bremerton,1754,3920,1904,40,291,,Active,,,http://www.redfin.com/WA/Bremerton/926-Washington-Ave-98337/home/39543657,NWMLS,1649606,N,Y,47.5703811,-122.6236008
MLS Listing,,Single Family Residential,24480 Jefferson Pl NE,Kingston,WA,98346,749000,2,2,Kingston,2064,21344,1982,54,363,,Active,,,http://www.redfin.com/WA/Kingston/24480-Jefferson-Pl-NE-98346/home/2307116,NWMLS,1643017,N,Y,47.7846577,-122.4935885
MLS Listing,,Single Family Residential,1813 NW Forest Creek Dr,Silverdale,WA,98383,349000,3,1,Silverdale,1108,12197,1971,1,315,,Active,,,http://www.redfin.com/WA/Silverdale/1813-NW-Forest-Creek-Dr-98383/home/2386108,NWMLS,1670705,N,Y,47.6824643,-122.6748227
MLS Listing,,Single Family Residential,4984 Bridle Tree Dr NW,Bremerton,WA,98312,985000,3,2.75,Seabeck,4062,219107,1999,1,242,,Active,,,http://www.redfin.com/WA/Bremerton/4984-Bridle-Tree-Dr-NW-98312/home/2290991,NWMLS,1670996,N,Y,47.6144419,-122.816317
MLS Listing,,Vacant Land,4418 Waterman Ridge Ln E,Port Orchard,WA,98366,125000,0,,Waterman,,42689,,1,,,Active,,,http://www.redfin.com/WA/Port-Orchard/4418-Waterman-Ridge-Ln-E-98366/home/173324573,NWMLS,1670924,N,Y,47.571056,-122.578767
MLS Listing,,Single Family Residential,9651 Phillips Rd SE,Port Orchard,WA,98367,458999,3,2.5,Port Orchard,2190,16553,2005,1,210,,Active,,,http://www.redfin.com/WA/Port-Orchard/9651-Phillips-Rd-SE-98367/home/2538811,NWMLS,1671177,N,Y,47.4633463,-122.5901843
MLS Listing,,Single Family Residential,1814 Perry Ave,Bremerton,WA,98310,319950,2,1,Manette,1028,6098,1940,1,311,,Active,,,http://www.redfin.com/WA/Bremerton/1814-Perry-Ave-98310/home/2328382,NWMLS,1670750,N,Y,47.5766829,-122.6134795
MLS Listing,,Single Family Residential,716 & 718 Park Ave,Bremerton,WA,98337,300000,4,1.75,Bremerton,1692,8276,1912,1,177,,Active,,,http://www.redfin.com/WA/Bremerton/718-Park-Ave-98337/home/173324067,NWMLS,1667309,N,Y,47.5686398,-122.6298619
