SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,10317 183rd Ave E,Bonney Lake,WA,98391,575000,3,2.5,Sky Island,2419,11244,2003,1,238,27,Active,,,http://www.redfin.com/WA/Bonney-Lake/10317-183rd-Ave-E-98391/home/3005422,NWMLS,1665345,N,Y,47.1625521,-122.1900999
MLS Listing,,Single Family Residential,19305 21st Av Ct E,Spanaway,WA,98387,380000,4,2.5,Spanaway,1880,4000,2017,1,202,56,Active,,,http://www.redfin.com/WA/Spanaway/19305-21st-Ave-Ct-E-98387/home/40530732,NWMLS,1669123,N,Y,47.081331,-122.4011244
MLS Listing,,Single Family Residential,672 S Davis St,Buckley,WA,98321,639950,3,2.5,Buckley,2840,6300,2020,1,225,50,Active,,,http://www.redfin.com/WA/Buckley/672-S-Davis-St-98321/home/167468396,NWMLS,1669904,N,Y,47.153549,-122.02299
MLS Listing,,Single Family Residential,7518 Locust Extension Ave E,Bonney Lake,WA,98391,349950,3,1.75,Bonney Lake,920,9387,1990,5,380,,Active,,,http://www.redfin.com/WA/Bonney-Lake/7518-Locust-Ave-E-98391/home/23093444,NWMLS,1669094,N,Y,47.188442,-122.180083
MLS Listing,,Single Family Residential,860 Hyak Way,Fox Island,WA,98333,679000,4,3.5,Fox Island,3248,55321,1972,12,209,,Active,,,http://www.redfin.com/WA/Fox-Island/860-Hyak-Way-Fi-98333/home/2361014,NWMLS,1664111,N,Y,47.2474486,-122.6236607
MLS Listing,,Single Family Residential,3902 Spyglass Dr NE,Tacoma,WA,98422,629950,4,3.5,Northshore,3034,9105,1999,13,208,30,Active,,,http://www.redfin.com/WA/Tacoma/3902-Spyglass-Dr-NE-98422/home/2864813,NWMLS,1664614,N,Y,47.2924503,-122.3925765
MLS Listing,,Single Family Residential,8103 S 15th St,Tacoma,WA,98465,919900,4,3,Tacoma,3020,7831,2015,14,305,46,Active,,,http://www.redfin.com/WA/Tacoma/8103-S-15th-St-98465/home/55740681,NWMLS,1663899,N,Y,47.2467419,-122.5459864
MLS Listing,,Single Family Residential,1006 Antonie Ln NW,Orting,WA,98360,479900,5,2.5,Orting,2798,5523,2017,19,172,31,Active,,,http://www.redfin.com/WA/Orting/1006-Antonie-Ln-NW-98360/home/142969620,NWMLS,1660823,N,Y,47.1068412,-122.2276317
MLS Listing,,Single Family Residential,4321 Soundview Dr W,University Place,WA,98466,499900,3,1.5,Sunset Beach,1788,8674,1957,19,280,,Active,,,http://www.redfin.com/WA/University-Place/4321-Soundview-Dr-W-98466/home/2968100,NWMLS,1661280,N,Y,47.217091,-122.566458
MLS Listing,,Single Family Residential,12502 Tanager Dr NW,Gig Harbor,WA,98332,2100000,4,4,Canterwood,7016,25073,2004,58,299,145,Active,,,http://www.redfin.com/WA/Gig-Harbor/12502-Tanager-Dr-NW-98332/home/2806271,NWMLS,1640406,N,Y,47.3710214,-122.5996032
MLS Listing,,Condo/Co-op,320 E 32nd St #205,Tacoma,WA,98404,485000,2,2,Tacoma,1603,,2002,63,303,485,Active,,,http://www.redfin.com/WA/Tacoma/320-E-32nd-St-98404/unit-205/home/3024887,NWMLS,1637659,N,Y,47.2325324,-122.4284228
MLS Listing,,Single Family Residential,1610 19th Av Ct,Milton,WA,98354,524000,3,2,Milton,1716,9000,1999,69,305,,Active,,,http://www.redfin.com/WA/Milton/1610-19th-Ave-Ct-98354/home/2931509,NWMLS,1635093,N,Y,47.2453323,-122.3086471
MLS Listing,,Vacant Land,3622 45th St NE,Tacoma,WA,98422,349000,0,,Ne Tacoma,,13728,,77,,,Active,,,http://www.redfin.com/WA/Tacoma/3622-45th-St-NE-98422/home/23044975,NWMLS,1630485,N,Y,47.297802,-122.397493
MLS Listing,,Single Family Residential,8307 83rd St Ct NW,Gig Harbor,WA,98332,874000,3,2.75,Gig Harbor,3672,33688,2002,90,238,,Active,,,http://www.redfin.com/WA/Gig-Harbor/8307-83rd-St-Ct-NW-98332/home/2759483,NWMLS,1622887,N,Y,47.3321308,-122.6506705
