SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,13704 63rd Dr NW,Stanwood,WA,98292,659990,5,2.5,Stanwood,2946,99752,1998,1,224,,Active,,,http://www.redfin.com/WA/Stanwood/13704-63rd-Dr-NW-98292/home/2853351,NWMLS,1668838,N,Y,48.120005,-122.319438
MLS Listing,,Single Family Residential,19224 5th Dr SE,Bothell,WA,98012,640000,2,2.5,Bothell,2015,10019,2001,1,318,,Active,,,http://www.redfin.com/WA/Bothell/19224-5th-Dr-SE-98012/home/2749964,NWMLS,1667639,N,Y,47.8233341,-122.2249222
MLS Listing,,Single Family Residential,1404 90th Ave NE,Lake Stevens,WA,98258,425000,3,2.5,Lake Stevens,1505,6098,1994,1,282,,Active,,,http://www.redfin.com/WA/Lake-Stevens/1404-90th-Ave-NE-98258/home/2835562,NWMLS,1668853,N,Y,48.0090144,-122.1099233
MLS Listing,,Single Family Residential,7032 Carson Rd,Everett,WA,98203,535000,4,2.75,Evergreen,2121,6098,2007,1,252,,Active,,,http://www.redfin.com/WA/Everett/7032-Carson-Rd-98203/home/12490571,NWMLS,1669720,N,Y,47.9341218,-122.226385
MLS Listing,,Single Family Residential,1429 184th St SW,Lynnwood,WA,98037,750000,5,2.75,Martha Lake,2539,3920,2017,2,295,39,Active,,,http://www.redfin.com/WA/Lynnwood/1429-184th-St-SW-98037/home/116798969,NWMLS,1668155,N,Y,47.832344,-122.253267
MLS Listing,,Single Family Residential,1809 Holbrook Ave,Everett,WA,98203,1250000,6,4.5,Boulevard Bluffs,5109,10019,2001,5,245,,Active,,,http://www.redfin.com/WA/Everett/1809-Holbrook-Ave-98203/home/2734735,NWMLS,1668483,N,Y,47.9551434,-122.2532665
MLS Listing,,Single Family Residential,9821 240th St SW,Edmonds,WA,98020,649950,3,2.25,Edmonds,2271,8712,1977,5,286,,Active,,,http://www.redfin.com/WA/Edmonds/9821-240th-St-SW-98020/home/2773598,NWMLS,1667432,N,Y,47.7818604,-122.3649834
MLS Listing,,Single Family Residential,6207 171st Ave SE,Snohomish,WA,98290,499000,2,1,Snohomish,1200,87120,1971,5,416,,Active,,,http://www.redfin.com/WA/Snohomish/6207-171st-Ave-SE-98290/home/2457387,NWMLS,1668071,N,Y,47.9394196,-121.9991291
MLS Listing,,Single Family Residential,5926 268th St NW,Stanwood,WA,98292,390000,2,1,Stanwood,768,43560,1924,6,508,,Active,,,http://www.redfin.com/WA/Stanwood/5926-268th-St-NW-98292/home/2606162,NWMLS,1665359,N,Y,48.2390313,-122.3130584
MLS Listing,,Single Family Residential,923 171st Pl SW,Lynnwood,WA,98037,799000,6,3.5,Martha Lake,3341,8276,1920,6,239,,Active,,,http://www.redfin.com/WA/Lynnwood/923-171st-Pl-SW-98037/home/2654033,NWMLS,1668040,N,Y,47.8432206,-122.2462546
