SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,6171 Vista Dr,Ferndale,WA,98248,569000,4,2.5,Ferndale,2978,7841,2005,30,191,,Active,,,http://www.redfin.com/WA/Ferndale/6171-Vista-Dr-98248/home/15799191,NWMLS,1654524,N,Y,48.8654081,-122.6043462
MLS Listing,,Condo/Co-op,2010 Superior St #201,Bellingham,WA,98229,309000,2,2,Whatcom Falls,975,,1997,33,317,284,Active,,,http://www.redfin.com/WA/Bellingham/2010-Superior-St-98229/unit-201/home/15808753,NWMLS,1654832,N,Y,48.75725605,-122.4399318
MLS Listing,,Single Family Residential,1606 Bayon Rd,Bellingham,WA,98225,450000,4,1.75,Bellingham,2196,9583,1958,188,205,,Active,,,http://www.redfin.com/WA/Bellingham/1606-Bayon-Rd-98225/home/15821907,NWMLS,1583667,N,Y,48.787731,-122.568519
MLS Listing,,Vacant Land,5355 Imhoff Rd,Ferndale,WA,98248,199000,0,,Ferndale,,851598,,1,,,Active,,,http://www.redfin.com/WA/Ferndale/5355-Imhoff-Rd-98248/home/173325113,NWMLS,1671262,N,Y,48.8366127,-122.609671
MLS Listing,,Condo/Co-op,9545 Semiahmoo Pkwy #305,Blaine,WA,98230,1229000,2,2.25,Semiahmoo,2003,,2020,1,614,375,Active,,,http://www.redfin.com/WA/Blaine/9545-Semiahmoo-Pkwy-98230/unit-305/home/173325014,NWMLS,1657998,N,Y,48.9891929,-122.775025
MLS Listing,,Single Family Residential,1943 Feather Dr,Lynden,WA,98264,559000,4,2.25,Lynden,2406,7841,2018,1,232,,Active,,,http://www.redfin.com/WA/Lynden/1943-Feather-Dr-98264/home/144788597,NWMLS,1670785,N,Y,48.9614399,-122.411703
MLS Listing,,Vacant Land,Highland Dr,Blaine,WA,98230,200000,0,,Birch Bay,,19430,,1,,,Active,,,http://www.redfin.com/WA/BLAINE/HIGHLAND-DR-98230/home/15772908,NWMLS,1671162,N,Y,48.908235,-122.753201
MLS Listing,,Single Family Residential,291 Pollman Cir,Lynden,WA,98264,338500,3,1.75,Lynden,1368,11326,1975,1,247,,Active,,,http://www.redfin.com/WA/Lynden/291-Pollman-Cir-98264/home/15801106,NWMLS,1670992,N,Y,48.8904776,-122.491588
MLS Listing,,Vacant Land,Highland Dr,Blaine,WA,98230,225000,0,,Birch Bay,,23185,,1,,,Active,,,http://www.redfin.com/WA/BLAINE/HIGHLAND-DR-98230/home/15772903,NWMLS,1671161,N,Y,48.90861,-122.752334
MLS Listing,,Single Family Residential,541 Lakeside Dr,Sedro Woolley,WA,98284,339000,2,1.5,Glenhaven,1020,11526,1973,1,332,29,Active,,,http://www.redfin.com/WA/Sedro-Woolley/541-Lakeside-Dr-98284/home/15826945,NWMLS,1666787,N,Y,48.661351,-122.327496
MLS Listing,,Condo/Co-op,3700 Alabama St #109,Bellingham,WA,98229,339000,2,1,Silver Beach,895,236897,1980,1,379,308,Active,,,http://www.redfin.com/WA/Bellingham/3700-Alabama-St-98229/unit-109/home/15811898,NWMLS,1669993,N,Y,48.762568,-122.4223023
MLS Listing,,Single Family Residential,3124 Tanglewood Ln,Bellingham,WA,98226,725000,3,2.5,Barkley,2078,10890,1996,1,349,10,Active,,,http://www.redfin.com/WA/Bellingham/3124-Tanglewood-Ln-98226/home/15811901,NWMLS,1670721,N,Y,48.7731173,-122.4236905
MLS Listing,,Single Family Residential,1237 Grant St,Bellingham,WA,98225,395000,4,1.75,York,1676,4356,1916,1,236,,Active,,,http://www.redfin.com/WA/Bellingham/1237-Grant-St-98225/home/15806715,NWMLS,1670978,N,Y,48.7440663,-122.4694596
